UIK.RAW	UIK	VOTERS	BALL.RECEIVED	BALL.ISS.PRELIMINARY	BALL.ISS.UIK.DAYOFVOTE	BALL.ISS.EXTRA	BALL.CANCELLED	BALL.PORTABLE_BOXES	BALL.STATIONARY_BOXES	BALL.INVALID	BALL.VALID	BALL.LOST	BALL.NOT.RECORDED	TIK	BABURIN	BABURIN.pct	GRUDININ	GRUDININ.pct	ZHIRINOVSKI	ZHIRINOVSKI.pct	PUTIN	PUTIN.pct	SOBCHAK	SOBCHAK.pct	SURAIKIN	SURAIKIN.pct	TITOV	TITOV.pct	YAVLINSKI	YAVLINSKI.pct
УИК №2226	2226	556	600	0	331	192	77	192	331	63	460	0	0	16	4	0.76%	31	5.93%	18	3.44%	361	69.02%	21	4.02%	5	0.96%	9	1.72%	11	2.10%
УИК №512	512	1720	2000	0	1137	9	854	9	1137	12	1134	0	0	17	9	0.79%	122	10.65%	42	3.66%	820	71.55%	64	5.58%	7	0.61%	23	2.01%	47	4.10%
УИК №513	513	1246	1200	0	837	49	314	49	828	8	869	0	0	17	6	0.68%	95	10.83%	31	3.53%	640	72.98%	46	5.25%	6	0.68%	18	2.05%	27	3.08%
УИК №514	514	1577	1500	0	953	98	449	98	953	6	1045	0	0	17	7	0.67%	94	8.94%	43	4.09%	805	76.59%	47	4.47%	7	0.67%	17	1.62%	25	2.38%
УИК №515	515	1857	2000	0	1479	153	368	152	1479	35	1596	0	0	17	10	0.61%	157	9.63%	92	5.64%	1200	73.57%	64	3.92%	16	0.98%	24	1.47%	33	2.02%
УИК №516	516	2085	2000	0	1455	24	521	24	1452	16	1460	0	0	17	11	0.75%	110	7.45%	63	4.27%	1119	75.81%	69	4.67%	12	0.81%	25	1.69%	51	3.46%
УИК №517	517	1917	2000	0	1191	32	777	32	1188	13	1207	0	0	17	9	0.74%	99	8.11%	38	3.11%	910	74.59%	71	5.82%	5	0.41%	26	2.13%	49	4.02%
УИК №518	518	2018	2000	0	1223	20	757	20	1221	19	1222	0	0	17	16	1.29%	89	7.17%	53	4.27%	957	77.12%	47	3.79%	9	0.73%	17	1.37%	34	2.74%
УИК №519	519	1979	2000	0	1373	23	604	23	1373	14	1382	0	0	17	14	1.00%	143	10.24%	53	3.80%	1039	74.43%	67	4.80%	0	0.00%	17	1.22%	49	3.51%
УИК №520	520	2326	2000	0	1437	31	532	31	1437	13	1455	0	0	17	13	0.89%	134	9.13%	52	3.54%	1115	75.95%	58	3.95%	10	0.68%	22	1.50%	51	3.47%
